Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	292621000000	55301000000	19777800000	478150	30409545	382510	0	55200030939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145680043704	21014958402	391096514	4010974	1002674	805674556	54824182356	55113143502	0	0	0	0	180498463	0	0	14379970089	0	0	0	0	20058506	61570991308	100264437	252782017270	0	0	70199205	0	334528524946	0	0	0	20055723	10026470	0	0	0	0	0	0	0	0	0	0	0	2005706	86179402769	0	0	0	0	0	30084976	160429086	0	0	4025664282	965988555612	188560917346	511443090	551511510	632270820	374000000	150000045	486449730	122400000	523600000	0	0	0	0	0	108250330	1912600	765020	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2346000000	1139000000	734400000	0	0	0	0	1103216235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6940002082	148436896	103304056	0	0	3812236	1022980800	1053071565	0	0	0	0	220643247	0	1002992	340994602	0	0	0	0	20058506	3209352512	702045862	2226490947	0	0	20058506	2005874	7221043152	4011748	0	0	0	0	0	0	0	6017712	2005904	0	0	0	0	0	0	0	190555807	4011748	2005874	0	0	0	10029253	100292530	0	0	21870196	1554534215	1022008088	0	50146265	0	0	340000102	0	0	0	44129228	34099858	42123984	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1088000000	904400000	401200000	0	0	0	0	1126971694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2700000810	136400082	161467210	2005904	1002674	3009408	886526588	711996256	0	0	0	2005626	280790848	110321783	3008698	1464137354	15044280	0	0	0	20052940	1905413909	1203479363	1063043621	30087759	0	170488952	2005874	3409797899	0	0	1002952	60172735	30087759	30087759	10029253	1002992	0	1002952	0	0	0	0	0	0	3008698	170491735	0	0	0	0	2005874	10029253	60175518	160468048	0	16351226	1293715194	1084181104	170496800	0	0	13600000	0	26076402	0	0	0	0	0	0	5014960	0	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	683400000	404600000	0	0	0	0	0	401169540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147433944	105309960	0	0	3310626	443291680	290848337	0	0	0	0	40116954	0	1002992	491433397	0	0	0	0	0	401169064	0	722105172	0	0	0	0	2607598916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200585060	0	0	0	0	0	0	0	0	0	14045080	1554534215	1457289256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	496400000	221000000	0	0	0	0	0	140409339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57168264	26076752	0	0	1003220	170496800	150438795	0	0	0	0	40116954	0	0	150438795	0	0	0	0	20058506	0	0	441286494	0	0	0	0	1504383990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002992	100292530	0	0	0	0	0	0	0	0	0	5016100	942749782	545605888	0	0	0	0	0	5014960	17000000	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	438600000	241400000	146200000	0	0	0	0	220643247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400000420	86253872	13038376	19056088	4011808	1003220	238695520	210614313	0	0	0	0	20058477	0	0	140409542	0	0	0	0	0	200584532	100292266	180526293	0	0	451316385	0	1504383990	0	0	0	150438795	10029253	10029253	0	0	0	0	0	0	70204771	0	0	0	29086768	60175518	34099858	30088110	0	0	0	20058506	20058506	0	0	9630912	12035103600	12225984880	0	0	0	0	0	5817353600	0	0	6819971600	6017622000	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x26460	411400000	54400000	30600000	0	0	0	0	60175431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470000141	76224352	18053136	0	0	802576	0	110321783	0	0	0	0	0	0	0	10029253	0	0	0	0	0	0	0	280818678	0	0	50146265	2005874	401169064	0	0	0	30087759	0	0	0	0	0	0	0	0	0	0	0	0	0	80234024	2005874	2005874	0	0	0	0	0	0	0	4012880	641872192	477405152	0	0	0	0	0	0	0	0	10029370	10029370	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	391000000	200600000	129200000	0	0	0	0	260760201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1090000327	75221400	46135792	0	0	1304186	375092960	130380289	0	0	0	0	40116954	0	0	50146265	0	0	0	0	0	501461330	0	481403448	0	0	0	0	1103214926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130380289	0	0	0	0	0	0	0	0	0	6520930	1012954553	448319544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x7ff0	350200000	91800000	0	0	0	0	0	160467816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10029520	8023616	0	0	401288	34099360	120351036	0	0	0	0	0	0	0	0	0	0	0	0	0	200584532	0	381111063	0	0	10029253	0	300876798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2006440	0	116342432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	319600000	71400000	81600000	0	0	0	0	60175431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430000129	41121032	18053136	0	0	601932	0	30087759	0	0	0	0	0	0	0	0	2005904	0	0	0	0	100292266	0	260760201	0	0	0	0	300876798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70204771	0	0	0	0	0	0	0	0	0	4113202	471374891	265782280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	149600000	13600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28082656	15044280	0	0	100322	34099360	20058506	0	0	0	1002952	0	0	0	30087759	0	0	0	0	0	0	0	60175431	0	0	10029253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50146265	0	0	0	0	0	0	10029253	0	0	501610	471374891	250738000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[]	119000000	17000000	0	0	0	0	0	20058477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28082656	0	0	0	1404508	0	30087759	0	0	0	0	0	0	0	10029253	0	0	0	0	0	0	0	240701724	0	0	0	0	100292266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60175518	0	0	0	0	0	10029253	0	0	0	7022540	962808288	199587448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gaussian	std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[](unsigned long) const	stl_vector.h	0x40815b
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	108800000	40800000	0	0	0	0	0	40116954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75221400	41121032	0	0	300966	34099360	50146265	0	0	0	0	0	0	0	30087759	1002952	0	0	1002952	0	200584532	0	160467816	0	0	10029253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002992	50146265	0	0	0	0	0	20058506	20058506	0	0	1504830	802340240	1060120264	0	0	0	0	0	16047872	0	0	0	0	0	0	0	0	0	0	gaussian	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
adler32_z	95200000	30600000	0	0	0	0	0	20058477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15044280	6017712	0	0	401288	68198720	20058506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100292385	0	0	0	0	200584532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10029253	0	0	0	0	0	0	0	0	0	1504830	50146265	147433944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	adler32_z	[Unknown]	0x6ba0
func@0x9240	74800000	64600000	30600000	0	0	0	0	20058477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240000072	6017712	4011808	0	0	200644	68198720	40117012	0	0	0	0	0	0	0	10029253	0	0	0	0	0	100292266	100292266	40116954	0	0	0	0	401169064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003220	0	54159408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0x9240	[Unknown]	0x9240
func@0x36390	71400000	13600000	10200000	0	0	0	0	20058477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000030	0	2005904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40116954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x36390	[Unknown]	0x36390
func@0xb4c0	51000000	13600000	3400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000021	4011808	0	0	0	0	0	30087759	0	0	0	0	0	0	0	0	0	0	0	0	0	100292266	0	0	0	0	0	0	100292266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10029253	0	0	0	0	0	0	0	0	0	0	50146265	32094464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0xb4c0	[Unknown]	0xb4c0
std::vector<float, std::allocator<float>>::push_back	37400000	3400000	0	0	0	0	0	20058477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68198720	0	0	0	0	0	0	0	0	0	3008856	0	0	0	0	0	0	20058477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10029253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gaussian	std::vector<float, std::allocator<float>>::push_back(float const&)	stl_vector.h	0x40276f
strcmp	37400000	13600000	27200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150000045	2005904	0	0	1002952	0	0	20058506	0	0	0	0	0	0	0	110321783	0	0	0	0	0	0	0	140409339	0	0	0	0	100292266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205605160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	strcmp	strcmp-sse2.S	0x274e0
func@0x267ee0	27200000	20400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10029253	50146265	10029253	10029253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_core.so.4.6.0	func@0x267ee0	[Unknown]	0x267ee0
