Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.652753
1	Clockticks	58259000000
2	Performance-core (P-core)	58255600000
1	Instructions Retired	300257400000
2	Performance-core (P-core)	300254000000
1	CPI Rate	0.194030
2	Performance-core (P-core)	0.194021
1	Performance-core (P-core)	
2	Retiring	72.0
3	Light Operations	68.1
4	FP Arithmetic	10.6
5	FP x87	0.0
5	FP Scalar	10.6
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	35.7
4	Fused Instructions	13.9
4	Non Fused Branches	1.1
4	Other	6.7
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	4.0
4	Few Uops Instructions	3.9
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	4.8
3	Front-End Latency	0.3
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.1
5	Code STLB Hit	0.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.2
5	Mispredicts Resteers	0.1
5	Clears Resteers	0.1
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	0.1
3	Front-End Bandwidth	4.5
4	Front-End Bandwidth MITE	0.1
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	14.4
4	Front-End Bandwidth LSD	0.1
4	MS	100.0
4	(Info) DSB Coverage	87.1
4	(Info) LSD Coverage	1.5
4	(Info) DSB Misses	9.3
2	Bad Speculation	3.7
3	Branch Mispredict	1.4
4	Other Mispredicts	0.0
3	Machine Clears	2.3
4	Other Nukes	2.3
2	Back-End Bound	19.4
3	Memory Bound	2.1
4	L1 Bound	0.4
5	DTLB Overhead	0.8
6	Load STLB Hit	0.8
6	Load STLB Miss	0.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	67.6
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.3
4	L2 Bound	0.1
5	L2 Hit Latency	2.8
4	L3 Bound	0.2
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.3
5	Memory Bandwidth	0.2
5	Memory Latency	0.7
4	Store Bound	0.0
5	Store Latency	0.1
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.3
6	Store STLB Hit	0.0
6	Store STLB Miss	0.2
7	Store STLB Miss 4K	0.2
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	17.3
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	1.0
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	10.9
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	1.0
5	Cycles of 2 Ports Utilized	2.5
5	Cycles of 3+ Ports Utilized	97.5
6	ALU Operation Utilization	49.1
7	Port 0	63.2
7	Port 1	31.7
7	Port 6	71.0
6	Load Operation Utilization	79.9
6	Store Operation Utilization	1.2
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	0.0
3	General Retirement	0.0
4	FP Arithmetic	0.0
4	Other	0.0
3	Microcode Sequencer	0.0
2	Front-End Bound	0.0
3	Front-End Latency	0.0
4	ICache Misses	0.0
4	ITLB Misses	0.0
4	BACLEARS	0.0
4	Branch Resteers	0.0
3	Front-End Bandwidth	64.7
4	Cisc	0.0
4	Decode	0.0
4	Pre-Decode Wrong	0.0
4	Front-End Other	0.0
2	Bad Speculation	100.0
3	Branch Mispredict	0.0
3	Machine Clears	0.0
4	Machine Clear	0.0
5	SMC Machine Clear	0.0
5	Machine Ordering	0.0
5	FP Assists	0.0
5	Disambiguation	0.0
5	Page Faults	0.0
4	Fast Machine Clears	0.0
2	Back-End Bound	0.0
3	Core Bound	0.0
3	Memory Bound	0.0
4	Store Bound	0.0
4	L1 Bound	0.0
5	Loads Blocked by Store Forwarding	0.0
5	Load STLB Hit	0.0
5	Load STLB Miss	0.0
5	Other L1	0.0
4	L2 Bound	0.0
4	L3 Bound	0.0
4	DRAM Bound	0.0
4	Other Load Store	0.0
2	Back-End Bound Auxiliary	0.0
3	Resource Bound	0.0
4	Memory Scheduler	0.0
5	ST Buffer	0.0
5	LD Buffer	0.0
5	RSV	0.0
4	Non-memory Scheduler	0.0
4	Register	0.0
4	Full Re-order Buffer (ROB)	0.0
4	Allocation Restriction	0.0
4	Serializing Operations	0.0
1	Average CPU Frequency	5757602275.523547
1	Total Thread Count	7
1	Paused Time	0.0
0	Effective Physical Core Utilization	18.9% (3.787 out of 20)
1	Effective Logical Core Utilization	13.6% (3.814 out of 28)
0	Collection and Platform Info	
1	Application Command Line	taskset "-c" "0-15" "./bin/gaussian" "11" "6" 
1	Operating System	6.17.0-14-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	abdulkadirt
1	Result Size	50084448
1	Collection start time	12:01:40 11/03/2026 UTC
1	Collection stop time	12:01:42 11/03/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	3417599810
2	Logical CPU Count	28
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
