Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.252230
1	Clockticks	63325000000
2	Performance-core (P-core)	47651000000
1	Instructions Retired	300291400000
2	Performance-core (P-core)	242423400000
1	CPI Rate	0.210879
2	Performance-core (P-core)	0.196561
1	Performance-core (P-core)	
2	Retiring	72.5
3	Light Operations	68.7
4	FP Arithmetic	10.1
5	FP x87	0.0
5	FP Scalar	10.1
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	35.1
4	Fused Instructions	14.0
4	Non Fused Branches	0.5
4	Other	8.9
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	3.8
4	Few Uops Instructions	3.7
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	4.9
3	Front-End Latency	0.2
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.1
5	Mispredicts Resteers	0.1
5	Clears Resteers	0.0
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	0.1
3	Front-End Bandwidth	4.7
4	Front-End Bandwidth MITE	0.1
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	14.6
4	Front-End Bandwidth LSD	0.0
4	MS	100.0
4	(Info) DSB Coverage	86.6
4	(Info) LSD Coverage	1.8
4	(Info) DSB Misses	10.1
2	Bad Speculation	2.4
3	Branch Mispredict	2.1
4	Other Mispredicts	0.0
3	Machine Clears	0.3
4	Other Nukes	0.3
2	Back-End Bound	20.2
3	Memory Bound	1.9
4	L1 Bound	0.8
5	DTLB Overhead	1.1
6	Load STLB Hit	1.0
6	Load STLB Miss	0.1
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	64.5
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.3
4	L2 Bound	0.1
5	L2 Hit Latency	1.9
4	L3 Bound	0.1
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.2
5	Memory Bandwidth	0.5
5	Memory Latency	0.9
4	Store Bound	0.3
5	Store Latency	0.5
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.2
6	Store STLB Hit	0.0
6	Store STLB Miss	0.2
7	Store STLB Miss 4K	0.2
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	18.2
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	1.1
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	11.1
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	1.1
5	Cycles of 2 Ports Utilized	2.6
5	Cycles of 3+ Ports Utilized	93.0
6	ALU Operation Utilization	46.7
7	Port 0	60.0
7	Port 1	30.1
7	Port 6	67.8
6	Load Operation Utilization	75.6
6	Store Operation Utilization	1.6
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	100.0
3	General Retirement	100.0
4	FP Arithmetic	0.0
4	Other	100.0
3	Microcode Sequencer	0.2
2	Front-End Bound	1.3
3	Front-End Latency	0.1
4	ICache Misses	0.0
4	ITLB Misses	0.0
4	BACLEARS	0.0
4	Branch Resteers	0.0
3	Front-End Bandwidth	0.3
4	Cisc	0.2
4	Decode	0.0
4	Pre-Decode Wrong	0.0
4	Front-End Other	0.0
2	Bad Speculation	0.0
3	Branch Mispredict	3.6
3	Machine Clears	0.0
4	Machine Clear	0.0
5	SMC Machine Clear	0.0
5	Machine Ordering	0.0
5	FP Assists	0.0
5	Disambiguation	0.0
5	Page Faults	0.0
4	Fast Machine Clears	0.0
2	Back-End Bound	30.6
3	Core Bound	30.6
3	Memory Bound	0.0
4	Store Bound	0.0
4	L1 Bound	0.0
5	Loads Blocked by Store Forwarding	0.0
5	Load STLB Hit	0.0
5	Load STLB Miss	0.0
5	Other L1	0.0
4	L2 Bound	0.0
4	L3 Bound	0.0
4	DRAM Bound	0.0
4	Other Load Store	0.0
2	Back-End Bound Auxiliary	30.6
3	Resource Bound	30.6
4	Memory Scheduler	1.8
5	ST Buffer	0.0
5	LD Buffer	0.000046
5	RSV	0.018024
4	Non-memory Scheduler	10.9
4	Register	0.1
4	Full Re-order Buffer (ROB)	25.2
4	Allocation Restriction	0.0
4	Serializing Operations	1.1
1	Average CPU Frequency	5060645460.576005
1	Total Thread Count	12
1	Paused Time	0.0
0	Effective Physical Core Utilization	23.0% (4.607 out of 20)
1	Effective Logical Core Utilization	19.8% (5.556 out of 28)
0	Collection and Platform Info	
1	Application Command Line	./bin/gaussian "11" "12" 
1	Operating System	6.17.0-14-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	abdulkadirt
1	Result Size	56113314
1	Collection start time	08:47:47 11/03/2026 UTC
1	Collection stop time	08:47:49 11/03/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	3417599925
