Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.998590
1	SP GFLOPS	2.334081
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	0.248517
1	Average CPU Frequency	5251763171.452031
1	Total Thread Count	6
0	Effective Physical Core Utilization	8.7% (1.746 out of 20)
1	Effective Logical Core Utilization	6.3% (1.765 out of 28)
0	Memory Bound	5.9
1	Performance-core (P-core)	
2	Memory Bound	5.9
3	Cache Bound	5.9
3	DRAM Bound	1.5
1	Efficient-core (E-core)	
2	Memory Bound	0.0
3	Cache Bound	0.0
3	DRAM Bound	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	73.000000	25.300000	2.884066	0.0
0	Vectorization	0.3
1	Instruction Mix	
2	SP FLOPs	7.2
3	Packed	0.3
4	128-bit	0.0
4	256-bit	0.3
3	Scalar	99.7
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	92.8
0	Collection and Platform Info	
1	Application Command Line	taskset "-c" "0-15" "./bin/gaussian" "3" "4" 
1	Operating System	6.17.0-14-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	abdulkadirt
1	Result Size	24649058
1	Collection start time	11:13:48 11/03/2026 UTC
1	Collection stop time	11:13:49 11/03/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	3417599831
2	Logical CPU Count	28
2	Max DRAM Single-Package Bandwidth	73000000000.000000
