Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	16.995040
1	SP GFLOPS	0.0
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	0.325562
1	Average CPU Frequency	9436733356.276768
1	Total Thread Count	6
0	Effective Physical Core Utilization	8.5% (1.701 out of 20)
1	Effective Logical Core Utilization	6.1% (1.701 out of 28)
0	Memory Bound	0.0
1	Performance-core (P-core)	
2	Memory Bound	0.0
3	Cache Bound	0.0
3	DRAM Bound	0.0
1	Efficient-core (E-core)	
2	Memory Bound	1.4
3	Cache Bound	1.2
3	DRAM Bound	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	64.000000	14.500000	0.144748	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	0.0
0	Collection and Platform Info	
1	Application Command Line	taskset "-c" "16-27" "./bin/mean" "19" "4" 
1	Operating System	6.17.0-14-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	abdulkadirt
1	Result Size	287082095
1	Collection start time	08:31:30 12/03/2026 UTC
1	Collection stop time	08:31:47 12/03/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	3417599789
2	Logical CPU Count	28
2	Max DRAM Single-Package Bandwidth	64000000000.000000
